cleaning_status,platinum_prompt,platinum_prompt_no_cot,platinum_target,original_target,platinum_parsing_strategy,input,output_program,output_answer,split,dataset,bodmas_question,elog_question,trigno_question
consensus,"Solve the following math word problem.

John can read 4 books a day. John reads every Monday and Tuesday. How many books would John read in 6 weeks?

Think step-by-step. Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

John can read 4 books a day. John reads every Monday and Tuesday. How many books would John read in 6 weeks?

Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.",['48'],['48'],math,John can read 4 books a day. John reads every Monday and Tuesday. How many books would John read in 6 weeks?,"from sympy import symbols, solve
x = symbols(""x"")
answer = solve((4+4)*6-x)
print(answer)",48,test,singleq,John can read 4 books a day. John reads every Monday and Tuesday. How many books would John read in (7-(68/68))  weeks?,John can read 4 books a day. John reads every Monday and Tuesday. How many books would John read in EXPONENTIAL(LOG(6))  weeks?,John can read 4 books a day. John reads every Monday and Tuesday. How many books would John read in (6/(cosec^2(24) - cot^2(24)))  weeks?
consensus,"Solve the following math word problem.

Sam grew 4 watermelons, but the rabbits ate 3 watermelons. How many watermelons does Sam have left ?

Think step-by-step. Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

Sam grew 4 watermelons, but the rabbits ate 3 watermelons. How many watermelons does Sam have left ?

Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.",['1'],['1'],math,"Sam grew 4 watermelons, but the rabbits ate 3 watermelons. How many watermelons does Sam have left ?","from sympy import symbols, solve
x = symbols(""x"")
answer = solve(4-3-x)
print(answer)",1,test,singleq,"Sam grew (5-(95/95))  watermelons, but the rabbits ate 3 watermelons. How many watermelons does Sam have left ?","Sam grew EXPONENTIAL(LOG(4))  watermelons, but the rabbits ate 3 watermelons. How many watermelons does Sam have left ?","Sam grew (5-(sec^2(39)-tan^2(39)))  watermelons, but the rabbits ate 3 watermelons. How many watermelons does Sam have left ?"
consensus,"Solve the following math word problem.

To fill an order, the factory dyed 61,921 yards of silk green and 49,500 yards pink. How many yards of silk did it dye for that order?

Think step-by-step. Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

To fill an order, the factory dyed 61,921 yards of silk green and 49,500 yards pink. How many yards of silk did it dye for that order?

Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.",['111421'],['111421'],math,"To fill an order, the factory dyed 61,921 yards of silk green and 49,500 yards pink. How many yards of silk did it dye for that order?","from sympy import symbols, solve
x = symbols(""x"")
answer = solve(61921+49500-x)
print(answer)",111421,test,singleq,"To fill an order, the factory dyed 61,921 yards of silk green and (49500.0*(0.5*2))  yards pink. How many yards of silk did it dye for that order?","To fill an order, the factory dyed 61,921 yards of silk green and LOG(EXPONENTIAL(49500))  yards pink. How many yards of silk did it dye for that order?","To fill an order, the factory dyed 61,921 yards of silk green and (49500/(sec^2(33)-tan^2(33)))  yards pink. How many yards of silk did it dye for that order?"
consensus,"Solve the following math word problem.

Maria needs 21 cartons of berries to make a berry cobbler. She already has 4 cartons of strawberries and 8 cartons of blueberries. How many more cartons of berries should Maria buy?

Think step-by-step. Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

Maria needs 21 cartons of berries to make a berry cobbler. She already has 4 cartons of strawberries and 8 cartons of blueberries. How many more cartons of berries should Maria buy?

Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.",['9'],['9'],math,Maria needs 21 cartons of berries to make a berry cobbler. She already has 4 cartons of strawberries and 8 cartons of blueberries. How many more cartons of berries should Maria buy?,"from sympy import symbols, solve
x = symbols(""x"")
answer = solve(21-(4+8)-x)
print(answer)",9,test,singleq,Maria needs 21 cartons of berries to make a berry cobbler. She already has 4 cartons of strawberries and (8/(0.5*2))  cartons of blueberries. How many more cartons of berries should Maria buy?,Maria needs 21 cartons of berries to make a berry cobbler. She already has 4 cartons of strawberries and EXPONENTIAL(LOG(8))  cartons of blueberries. How many more cartons of berries should Maria buy?,Maria needs 21 cartons of berries to make a berry cobbler. She already has 4 cartons of strawberries and (8/(cosec^2(1) - cot^2(1)))  cartons of blueberries. How many more cartons of berries should Maria buy?
consensus,"Solve the following math word problem.

Betty bought 88 pink flower stones and wanted to make 8 bracelets out of these stones. How many pink flower stones will each bracelet have if she used the same number of stones in each bracelet?

Think step-by-step. Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

Betty bought 88 pink flower stones and wanted to make 8 bracelets out of these stones. How many pink flower stones will each bracelet have if she used the same number of stones in each bracelet?

Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.",['11'],['11'],math,Betty bought 88 pink flower stones and wanted to make 8 bracelets out of these stones. How many pink flower stones will each bracelet have if she used the same number of stones in each bracelet?,"from sympy import symbols, solve
x = symbols(""x"")
answer = solve(88/8-x)
print(answer)",11,test,singleq,Betty bought 88 pink flower stones and wanted to make (8.0*(72/72))  bracelets out of these stones. How many pink flower stones will each bracelet have if she used the same number of stones in each bracelet?,Betty bought 88 pink flower stones and wanted to make LOG(EXPONENTIAL(8))  bracelets out of these stones. How many pink flower stones will each bracelet have if she used the same number of stones in each bracelet?,Betty bought 88 pink flower stones and wanted to make (9-(cosec^2(39) - cot^2(39)))  bracelets out of these stones. How many pink flower stones will each bracelet have if she used the same number of stones in each bracelet?
verified,"Solve the following math word problem.

Christian and the junior ranger brought a bag of 140 nails as they visited every station assigned to the junior ranger. If they left exactly 7 nails in every station they visited, how many stations did Joline and the junior ranger visit?

Think step-by-step. Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

Christian and the junior ranger brought a bag of 140 nails as they visited every station assigned to the junior ranger. If they left exactly 7 nails in every station they visited, how many stations did Joline and the junior ranger visit?

Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.",['20'],['20'],math,"Christian and the junior ranger brought a bag of 140 nails as they visited every station assigned to the junior ranger. If they left exactly 7 nails in every station they visited, how many stations did Joline and the junior ranger visit?","from sympy import symbols, solve
x = symbols(""x"")
answer = solve(140/7-x)
print(answer)",20,test,singleq,"Christian and the junior ranger brought a bag of (141-(0.5*2))  nails as they visited every station assigned to the junior ranger. If they left exactly 7 nails in every station they visited, how many stations did Joline and the junior ranger visit?","Christian and the junior ranger brought a bag of EXPONENTIAL(LOG(140))  nails as they visited every station assigned to the junior ranger. If they left exactly 7 nails in every station they visited, how many stations did Joline and the junior ranger visit?","Christian and the junior ranger brought a bag of (141-(cosec^2(31) - cot^2(31)))  nails as they visited every station assigned to the junior ranger. If they left exactly 7 nails in every station they visited, how many stations did Joline and the junior ranger visit?"
consensus,"Solve the following math word problem.

Sunday morning was spent for making wood carvings which can be sold as souvenir for tourists. They were placed in shelves that can contain 8 wood carvings at a time. If 56 wood carvings were displayed, how many shelves were filled with carvings?

Think step-by-step. Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

Sunday morning was spent for making wood carvings which can be sold as souvenir for tourists. They were placed in shelves that can contain 8 wood carvings at a time. If 56 wood carvings were displayed, how many shelves were filled with carvings?

Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.",['7'],['7'],math,"Sunday morning was spent for making wood carvings which can be sold as souvenir for tourists. They were placed in shelves that can contain 8 wood carvings at a time. If 56 wood carvings were displayed, how many shelves were filled with carvings?","from sympy import symbols, solve
x = symbols(""x"")
answer = solve(8*x-56)
print(answer)",7,test,singleq,"Sunday morning was spent for making wood carvings which can be sold as souvenir for tourists. They were placed in shelves that can contain 8 wood carvings at a time. If (56/(0.5*2))  wood carvings were displayed, how many shelves were filled with carvings?","Sunday morning was spent for making wood carvings which can be sold as souvenir for tourists. They were placed in shelves that can contain 8 wood carvings at a time. If EXPONENTIAL(LOG(56))  wood carvings were displayed, how many shelves were filled with carvings?","Sunday morning was spent for making wood carvings which can be sold as souvenir for tourists. They were placed in shelves that can contain 8 wood carvings at a time. If (57-(cosec^2(82) - cot^2(82)))  wood carvings were displayed, how many shelves were filled with carvings?"
consensus,"Solve the following math word problem.

Joan has 9 blue balloons, Sally has 5 blue balloons, and Jessica has 2 blue balloons. How many blue balloons do they have in total ?

Think step-by-step. Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

Joan has 9 blue balloons, Sally has 5 blue balloons, and Jessica has 2 blue balloons. How many blue balloons do they have in total ?

Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.",['16'],['16'],math,"Joan has 9 blue balloons, Sally has 5 blue balloons, and Jessica has 2 blue balloons. How many blue balloons do they have in total ?","from sympy import symbols, solve
x = symbols(""x"")
answer = solve(9+5+2-x)
print(answer)",16,test,singleq,"Joan has 9 blue balloons, Sally has (4+(27/27))  blue balloons, and Jessica has 2 blue balloons. How many blue balloons do they have in total ?","Joan has 9 blue balloons, Sally has LOG(EXPONENTIAL(5))  blue balloons, and Jessica has 2 blue balloons. How many blue balloons do they have in total ?","Joan has 9 blue balloons, Sally has (5.0*(sec^2(21)-tan^2(21)))  blue balloons, and Jessica has 2 blue balloons. How many blue balloons do they have in total ?"
consensus,"Solve the following math word problem.

Joan had 5 dimes in her bank. She spent 2 of her dimes. How many dimes does she have now ?

Think step-by-step. Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

Joan had 5 dimes in her bank. She spent 2 of her dimes. How many dimes does she have now ?

Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.",['3'],['3'],math,Joan had 5 dimes in her bank. She spent 2 of her dimes. How many dimes does she have now ?,"from sympy import symbols, solve
x = symbols(""x"")
answer = solve(5-2-x)
print(answer)",3,test,singleq,Joan had (5.0*(0.5*2))  dimes in her bank. She spent 2 of her dimes. How many dimes does she have now ?,Joan had LOG(EXPONENTIAL(5))  dimes in her bank. She spent 2 of her dimes. How many dimes does she have now ?,Joan had (6-(cos^2(6) + sin^2(6)))  dimes in her bank. She spent 2 of her dimes. How many dimes does she have now ?
consensus,"Solve the following math word problem.

It has been tradition in Shiela’s home to hang a sock above the fireplace for each member of the family. This year, she placed a cinnamon ball every day in the socks for 5 of her family members. How long can she do this if she bought 50 cinnamon balls?

Think step-by-step. Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

It has been tradition in Shiela’s home to hang a sock above the fireplace for each member of the family. This year, she placed a cinnamon ball every day in the socks for 5 of her family members. How long can she do this if she bought 50 cinnamon balls?

Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.",['10'],['10'],math,"It has been tradition in Shiela’s home to hang a sock above the fireplace for each member of the family. This year, she placed a cinnamon ball every day in the socks for 5 of her family members. How long can she do this if she bought 50 cinnamon balls?","from sympy import symbols, solve
x = symbols(""x"")
answer = solve(5*x-50)
print(answer)",10,test,singleq,"It has been tradition in Shiela’s home to hang a sock above the fireplace for each member of the family. This year, she placed a cinnamon ball every day in the socks for 5 of her family members. How long can she do this if she bought (50/(0.5*2))  cinnamon balls?","It has been tradition in Shiela’s home to hang a sock above the fireplace for each member of the family. This year, she placed a cinnamon ball every day in the socks for 5 of her family members. How long can she do this if she bought LOG(EXPONENTIAL(50))  cinnamon balls?","It has been tradition in Shiela’s home to hang a sock above the fireplace for each member of the family. This year, she placed a cinnamon ball every day in the socks for 5 of her family members. How long can she do this if she bought (51-(cos^2(45) + sin^2(45)))  cinnamon balls?"
