cleaning_status,platinum_prompt,platinum_prompt_no_cot,platinum_target,original_target,platinum_parsing_strategy,ID,Body,Question,Equation,Answer,Type,question_concat,bodmas_question,elog_question,trigno_question
consensus,"Solve the following math word problem.

Winter is almost here and most animals are migrating to warmer countries. There are 41 bird families living near the mountain. If 35 bird families flew away to asia and 62 bird families flew away to africa
How many more bird families flew away to africa than those that flew away to asia?

Think step-by-step. Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

Winter is almost here and most animals are migrating to warmer countries. There are 41 bird families living near the mountain. If 35 bird families flew away to asia and 62 bird families flew away to africa
How many more bird families flew away to africa than those that flew away to asia?

Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.",['27'],['27'],math,chal-736,Winter is almost here and most animals are migrating to warmer countries. There are 41 bird families living near the mountain. If 35 bird families flew away to asia and 62 bird families flew away to africa,How many more bird families flew away to africa than those that flew away to asia?,( 62.0 - 35.0 ),27,Subtraction,Winter is almost here and most animals are migrating to warmer countries. There are 41 bird families living near the mountain. If 35 bird families flew away to asia and 62 bird families flew away to africa How many more bird families flew away to africa than those that flew away to asia?,Winter is almost here and most animals are migrating to warmer countries. There are (42-(83/83))  bird families living near the mountain. If 35 bird families flew away to asia and 62 bird families flew away to africa How many more bird families flew away to africa than those that flew away to asia?,Winter is almost here and most animals are migrating to warmer countries. There are LOG(EXPONENTIAL(41))  bird families living near the mountain. If 35 bird families flew away to asia and 62 bird families flew away to africa How many more bird families flew away to africa than those that flew away to asia?,Winter is almost here and most animals are migrating to warmer countries. There are (41/(cosec^2(60) - cot^2(60)))  bird families living near the mountain. If 35 bird families flew away to asia and 62 bird families flew away to africa How many more bird families flew away to africa than those that flew away to asia?
consensus,"Solve the following math word problem.

Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left.
How many fishes disappeared?

Think step-by-step. Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left.
How many fishes disappeared?

Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.",['4'],['4'],math,chal-162,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left.,How many fishes disappeared?,( ( 7.0 + 12.0 ) - 15.0 ),4,Subtraction,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,Paige raised (8-(19/19))  goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,Paige raised LOG(EXPONENTIAL(7))  goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,Paige raised (7/(sec^2(93)-tan^2(93)))  goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?
verified,"Solve the following math word problem.

Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds.
How much did his dad's strawberries weigh now?

Think step-by-step. Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds.
How much did his dad's strawberries weigh now?

Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.",['16'],['16'],math,chal-349,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds.,How much did his dad's strawberries weigh now?,( ( 22.0 - 36.0 ) + 30.0 ),16,Addition,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found (30.0*(0.5*2))  more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found LOG(EXPONENTIAL(30))  more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found (30/(cosec^2(99) - cot^2(99)))  more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?
verified,"Solve the following math word problem.

Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day
How many days would the soda bottles last?

Think step-by-step. Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day
How many days would the soda bottles last?

Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.",['64'],['64'],math,chal-390,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day,How many days would the soda bottles last?,( 256.0 / 4.0 ),64,Common-Division,Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,Debby bought (201-(0.5*2))  water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,Debby bought LOG(EXPONENTIAL(200))  water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,Debby bought (199+(cosec^2(65) - cot^2(65)))  water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?
consensus,"Solve the following math word problem.

There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom
How much did she spend at the supermarket?

Think step-by-step. Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom
How much did she spend at the supermarket?

Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.",['31'],['31'],math,chal-781,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom,How much did she spend at the supermarket?,( ( 106.0 - 26.0 ) - 49.0 ),31,Subtraction,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent (49.0*(90/90))  dollars at the showroom How much did she spend at the supermarket?,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent EXPONENTIAL(LOG(49))  dollars at the showroom How much did she spend at the supermarket?,There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent (50-(cos^2(87) + sin^2(87)))  dollars at the showroom How much did she spend at the supermarket?
consensus,"Solve the following math word problem.

Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row.
How many pencils does she have?

Think step-by-step. Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row.
How many pencils does she have?

Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.",['720'],['720'],math,chal-575,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row.,How many pencils does she have?,( 30.0 * 24.0 ),720,Multiplication,Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,Faye was placing her pencils and crayons into 30 rows with (71/(79/79))  crayons and 24 pencils in each row. How many pencils does she have?,Faye was placing her pencils and crayons into 30 rows with LOG(EXPONENTIAL(71))  crayons and 24 pencils in each row. How many pencils does she have?,Faye was placing her pencils and crayons into 30 rows with (70+(sec^2(32)-tan^2(32)))  crayons and 24 pencils in each row. How many pencils does she have?
consensus,"Solve the following math word problem.

Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles
How many more marbles did Ed have than Doug then?

Think step-by-step. Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles
How many more marbles did Ed have than Doug then?

Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.",['21'],['21'],math,chal-599,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles,How many more marbles did Ed have than Doug then?,( 10.0 + 11.0 ),21,Addition,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,Ed had 10 more marbles than Doug. Doug lost (12-(0.5*2))  of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,Ed had 10 more marbles than Doug. Doug lost EXPONENTIAL(LOG(11))  of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,Ed had 10 more marbles than Doug. Doug lost (11.0*(cos^2(96) + sin^2(96)))  of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?
consensus,"Solve the following math word problem.

26 children were riding on the bus. At the bus stop 38 more children got on the bus.
How many children are on the bus now?

Think step-by-step. Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

26 children were riding on the bus. At the bus stop 38 more children got on the bus.
How many children are on the bus now?

Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.",['64'],['64'],math,chal-619,26 children were riding on the bus. At the bus stop 38 more children got on the bus.,How many children are on the bus now?,( 26.0 + 38.0 ),64,Addition,26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,26 children were riding on the bus. At the bus stop (38/(83/83))  more children got on the bus. How many children are on the bus now?,26 children were riding on the bus. At the bus stop LOG(EXPONENTIAL(38))  more children got on the bus. How many children are on the bus now?,26 children were riding on the bus. At the bus stop (39-(cos^2(46) + sin^2(46)))  more children got on the bus. How many children are on the bus now?
verified,"Solve the following math word problem.

Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday.
How many cookies did Helen bake till last night?

Think step-by-step. Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday.
How many cookies did Helen bake till last night?

Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.",['450'],['450'],math,chal-229,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday.,How many cookies did Helen bake till last night?,( 31.0 + 419.0 ),450,Addition,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked (31/(0.5*2))  cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked EXPONENTIAL(LOG(31))  cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked (32-(sec^2(71)-tan^2(71)))  cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?
consensus,"Solve the following math word problem.

He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges.
How many oranges will they have after 87 days of harvest?

Think step-by-step. Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges.
How many oranges will they have after 87 days of harvest?

Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.",['143550'],['143550'],math,chal-725,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges.,How many oranges will they have after 87 days of harvest?,( ( 66.0 * 87.0 ) * 25.0 ),143550,Multiplication,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes (26-(0.5*2))  oranges. How many oranges will they have after 87 days of harvest?,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes EXPONENTIAL(LOG(25))  oranges. How many oranges will they have after 87 days of harvest?,He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes (24+(sec^2(10)-tan^2(10)))  oranges. How many oranges will they have after 87 days of harvest?
