cleaning_status,platinum_prompt,platinum_prompt_no_cot,platinum_target,original_target,platinum_parsing_strategy,input,output_program,output_answer,split,dataset,bodmas_question,elog_question,trigno_question
consensus,"Solve the following math word problem.

 Misha has 34 dollars. How many more dollars does she have to earn to have 47 dollars?

Think step-by-step. Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

 Misha has 34 dollars. How many more dollars does she have to earn to have 47 dollars?

Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.",['13'],['13'],math, Misha has 34 dollars. How many more dollars does she have to earn to have 47 dollars?,"answer=(47.0-34.0)
print(answer)",13,test,singleop, Misha has (34/(43/43))  dollars. How many more dollars does she have to earn to have 47 dollars?, Misha has EXPONENTIAL(LOG(34))  dollars. How many more dollars does she have to earn to have 47 dollars?, Misha has (35-(cos^2(81) + sin^2(81)))  dollars. How many more dollars does she have to earn to have 47 dollars?
consensus,"Solve the following math word problem.

It took Amanda 5 hours to stroll to Kimberly's house at 2 miles per hour. How far is it between Amanda's house and Kimberly's house?

Think step-by-step. Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

It took Amanda 5 hours to stroll to Kimberly's house at 2 miles per hour. How far is it between Amanda's house and Kimberly's house?

Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.",['10'],['10'],math,It took Amanda 5 hours to stroll to Kimberly's house at 2 miles per hour. How far is it between Amanda's house and Kimberly's house?,"answer=(5.0*2.0)
print(answer)",10,test,singleop,It took Amanda 5 hours to stroll to Kimberly's house at (1+(53/53))  miles per hour. How far is it between Amanda's house and Kimberly's house?,It took Amanda 5 hours to stroll to Kimberly's house at LOG(EXPONENTIAL(2))  miles per hour. How far is it between Amanda's house and Kimberly's house?,It took Amanda 5 hours to stroll to Kimberly's house at (2.0*(cosec^2(51) - cot^2(51)))  miles per hour. How far is it between Amanda's house and Kimberly's house?
consensus,"Solve the following math word problem.

Angela has 11 tickets. Annie gives Angela 4 more. How many tickets does Angela have in all?

Think step-by-step. Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

Angela has 11 tickets. Annie gives Angela 4 more. How many tickets does Angela have in all?

Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.",['15'],['15'],math,Angela has 11 tickets. Annie gives Angela 4 more. How many tickets does Angela have in all?,"answer=(11.0+4.0)
print(answer)",15,test,singleop,Angela has (11/(55/55))  tickets. Annie gives Angela 4 more. How many tickets does Angela have in all?,Angela has LOG(EXPONENTIAL(11))  tickets. Annie gives Angela 4 more. How many tickets does Angela have in all?,Angela has (11/(cos^2(28) + sin^2(28)))  tickets. Annie gives Angela 4 more. How many tickets does Angela have in all?
consensus,"Solve the following math word problem.

Henry wants to split a collection of crayons into groups of 6. Henry has 42 crayons. How many groups will be created?

Think step-by-step. Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

Henry wants to split a collection of crayons into groups of 6. Henry has 42 crayons. How many groups will be created?

Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.",['7'],['7'],math,Henry wants to split a collection of crayons into groups of 6. Henry has 42 crayons. How many groups will be created?,"answer=(42.0/6.0)
print(answer)",7,test,singleop,Henry wants to split a collection of crayons into groups of 6. Henry has (42/(0.5*2))  crayons. How many groups will be created?,Henry wants to split a collection of crayons into groups of 6. Henry has LOG(EXPONENTIAL(42))  crayons. How many groups will be created?,Henry wants to split a collection of crayons into groups of 6. Henry has (43-(sec^2(7)-tan^2(7)))  crayons. How many groups will be created?
consensus,"Solve the following math word problem.

 Iesha has 344 books. 136 are about school and the rest are about sports. How many books about sports does Iesha have?

Think step-by-step. Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

 Iesha has 344 books. 136 are about school and the rest are about sports. How many books about sports does Iesha have?

Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.",['208'],['208'],math, Iesha has 344 books. 136 are about school and the rest are about sports. How many books about sports does Iesha have?,"answer=(344.0-136.0)
print(answer)",208,test,singleop, Iesha has 344 books. (136.0*(0.5*2))  are about school and the rest are about sports. How many books about sports does Iesha have?, Iesha has 344 books. LOG(EXPONENTIAL(136))  are about school and the rest are about sports. How many books about sports does Iesha have?, Iesha has 344 books. (137-(sec^2(37)-tan^2(37)))  are about school and the rest are about sports. How many books about sports does Iesha have?
consensus,"Solve the following math word problem.

David has 8 bananas. He gets 50 more from Christopher. Later, David buys 9 cards at the store. How many bananas does David have in all?

Think step-by-step. Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

David has 8 bananas. He gets 50 more from Christopher. Later, David buys 9 cards at the store. How many bananas does David have in all?

Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.",['58'],['58'],math,"David has 8 bananas. He gets 50 more from Christopher. Later, David buys 9 cards at the store. How many bananas does David have in all?","answer=(8.0+50.0)
print(answer)",58,test,singleop,"David has (9-(40/40))  bananas. He gets 50 more from Christopher. Later, David buys 9 cards at the store. How many bananas does David have in all?","David has EXPONENTIAL(LOG(8))  bananas. He gets 50 more from Christopher. Later, David buys 9 cards at the store. How many bananas does David have in all?","David has (9-(cos^2(29) + sin^2(29)))  bananas. He gets 50 more from Christopher. Later, David buys 9 cards at the store. How many bananas does David have in all?"
consensus,"Solve the following math word problem.

Pamela starts with 30 bottle caps. Jean takes 26 away. How many bottle caps does Pamela end with?

Think step-by-step. Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

Pamela starts with 30 bottle caps. Jean takes 26 away. How many bottle caps does Pamela end with?

Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.",['4'],['4'],math,Pamela starts with 30 bottle caps. Jean takes 26 away. How many bottle caps does Pamela end with?,"answer=(30.0-26.0)
print(answer)",4,test,singleop,Pamela starts with 30 bottle caps. Jean takes (25+(22/22))  away. How many bottle caps does Pamela end with?,Pamela starts with 30 bottle caps. Jean takes LOG(EXPONENTIAL(26))  away. How many bottle caps does Pamela end with?,Pamela starts with 30 bottle caps. Jean takes (26/(cosec^2(3) - cot^2(3)))  away. How many bottle caps does Pamela end with?
consensus,"Solve the following math word problem.

 Lucy has an aquarium with 212 fish. She wants to buy 68 more fish. How many fish would Lucy have then?

Think step-by-step. Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

 Lucy has an aquarium with 212 fish. She wants to buy 68 more fish. How many fish would Lucy have then?

Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.",['280'],['280'],math, Lucy has an aquarium with 212 fish. She wants to buy 68 more fish. How many fish would Lucy have then?,"answer=(212.0+68.0)
print(answer)",280,test,singleop, Lucy has an aquarium with (211+(62/62))  fish. She wants to buy 68 more fish. How many fish would Lucy have then?, Lucy has an aquarium with LOG(EXPONENTIAL(212))  fish. She wants to buy 68 more fish. How many fish would Lucy have then?, Lucy has an aquarium with (211+(cos^2(89) + sin^2(89)))  fish. She wants to buy 68 more fish. How many fish would Lucy have then?
consensus,"Solve the following math word problem.

There are 22 oranges in a box. Paula takes 7 oranges. How many are left?

Think step-by-step. Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

There are 22 oranges in a box. Paula takes 7 oranges. How many are left?

Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.",['15'],['15'],math,There are 22 oranges in a box. Paula takes 7 oranges. How many are left?,"answer=(22.0-7.0)
print(answer)",15,test,singleop,There are 22 oranges in a box. Paula takes (6+(0.5*2))  oranges. How many are left?,There are 22 oranges in a box. Paula takes LOG(EXPONENTIAL(7))  oranges. How many are left?,There are 22 oranges in a box. Paula takes (8-(sec^2(68)-tan^2(68)))  oranges. How many are left?
consensus,"Solve the following math word problem.

If Madison sold 24 boxes of Tagalongs, how many cases of 12 boxes does Madison pickup from the cookie mom?

Think step-by-step. Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

If Madison sold 24 boxes of Tagalongs, how many cases of 12 boxes does Madison pickup from the cookie mom?

Then, provide the final answer as a single number in the format ""Answer: XXX"" with no extra formatting.",['2'],['2'],math,"If Madison sold 24 boxes of Tagalongs, how many cases of 12 boxes does Madison pickup from the cookie mom?","answer=(24.0/12.0)
print(answer)",2,test,singleop,"If Madison sold (24/(58/58))  boxes of Tagalongs, how many cases of 12 boxes does Madison pickup from the cookie mom?","If Madison sold EXPONENTIAL(LOG(24))  boxes of Tagalongs, how many cases of 12 boxes does Madison pickup from the cookie mom?","If Madison sold (23+(cosec^2(89) - cot^2(89)))  boxes of Tagalongs, how many cases of 12 boxes does Madison pickup from the cookie mom?"
